formula,nelements,radius_mean,radius_mean_wtd,radius_std,radius_std_wtd,radius_range,radius_range_wtd,radius_entropy,radius_entropy_wtd,mass_mean,mass_mean_wtd,mass_std,mass_std_wtd,mass_range,mass_range_wtd,mass_entropy,mass_entropy_wtd,valence_mean,valence_mean_wtd,valence_std,valence_std_wtd,valence_range,valence_range_wtd,valence_entropy,valence_entropy_wtd,electronnegativity_mean,electronnegativity_mean_wtd,electronnegativity_std,electronnegativity_std_wtd,electronnegativity_range,electronnegativity_range_wtd,electronnegativity_entropy,electronnegativity_entropy_wtd,firstionization_mean,firstionization_mean_wtd,firstionization_std,firstionization_std_wtd,firstionization_range,firstionization_range_wtd,firstionization_entropy,firstionization_entropy_wtd,shell_range,d_mean,d_ratio,d_unfill
LuB2C,3,1.1099999999999999,1.04,0.43908996800200295,0.3991240408695021,0.96,0.24,1.0250907368934556,1.0437082501698316,65.92966666666668,52.15,77.10259418607278,70.91012031438107,164.156,40.739000000000004,0.43744875560776414,0.5467890340721281,8.0,6.75,6.377042156569663,5.931905258852336,14,3.25,0.8028187820379638,0.9084160841967895,1.9533333333333336,1.9749999999999999,0.5261389761481486,0.45719251962384505,1.2799999999999998,0.7025,1.0608105016250333,1.000095007293298,8.328066666666668,8.32055,2.381978707340228,2.0628951554793087,5.8344000000000005,2.792525,1.0569073184991165,1.0093518305316256,4,0.25,0.037037037037037035,6.75
Na2CuC3,3,1.3233333333333333,1.2383333333333333,0.4704843839656695,0.514633094759968,1.15,0.4266666666666666,1.0343846366222567,1.0073244362306362,32.849,24.259833333333333,22.163994330144256,18.242485205481795,51.535,4.5855,0.8790027330909694,1.0714663857628008,5.333333333333333,4.166666666666666,4.189935029992178,3.3374973990834644,10,1.6666666666666667,0.7774621319109287,0.915594938493882,1.7933333333333334,1.9016666666666666,0.6656492236072156,0.7244864081234067,1.6199999999999997,0.9649999999999999,1.0248687263529668,0.8622471439913941,8.041933333333333,8.630916666666668,2.508909899183752,2.7672094189012073,6.121200000000001,4.342416666666667,1.0497075645107468,0.8834836094926998,2,1.6666666666666667,0.39999999999999997,0.0
Ho(BC)2,3,1.1233333333333333,0.994,0.45791799362865065,0.38892672831781566,1.0,0.045999999999999985,1.0206310294757475,1.0970021462083936,62.584,42.1148,72.3712087642593,61.40994494184147,154.119,28.661600000000004,0.4540964438403846,0.6727231178692251,6.666666666666666,5.4,4.4969125210773475,3.8262252939417984,10,1.4,0.8864644756797975,1.0465616513448108,1.94,2.082,0.5435071296680476,0.4832142382008212,1.3199999999999998,0.774,1.0575059142770973,0.9690272194467895,8.5266,9.02762,2.144830969252978,2.003555245457435,5.238800000000001,3.2998200000000004,1.066896114503089,0.9835043075988174,4,0,0.0,0
Tb(BC)2,3,1.1266666666666667,0.9959999999999999,0.46262535838648344,0.39291729409635306,1.01,0.04799999999999999,1.01951258222313,1.096868860978717,60.58233333333334,40.9138,69.5404921147065,59.008040395864704,148.114,27.460600000000003,0.46474309667016767,0.6851803476749413,6.0,5.0,3.559026084010437,3.03315017762062,8,1.0,0.9338238517147219,1.0683583388846372,1.8966666666666667,2.056,0.6005737997023253,0.529626283335712,1.4499999999999997,0.8,1.0451607100546534,0.9536590476586579,8.474033333333335,8.996080000000001,2.206625457319137,2.051301722711703,5.3965000000000005,3.33136,1.0644787509954126,0.9798498664404413,4,0,0.0,0
Sm(BC)2,3,1.1333333333333333,0.9999999999999999,0.4720404879056692,0.40089898977173793,1.03,0.05199999999999999,1.0172720261687682,1.096582284823946,57.727333333333334,39.2008,65.5030187616486,55.582190818282804,139.549,25.747600000000002,0.48091827370612766,0.7038174016372292,5.0,4.4,2.160246899469287,1.854723699099141,5,0.3999999999999999,1.0096137581740383,1.0900596587107838,1.92,2.0700000000000003,0.5697367813297646,0.5044997522298698,1.38,0.786,1.0521267003990922,0.9621365823713488,8.400666666666666,8.952060000000001,2.2941162747825627,2.1192818902637756,5.616600000000001,3.3753800000000003,1.060836840717171,0.9745680156378432,4,0,0.0,0
Y(BC)2,3,1.1366666666666667,1.0019999999999998,0.47674824476749667,0.4048901085479862,1.04,0.05399999999999999,1.0161500708642623,1.0964291823263825,37.242666666666665,26.91,36.53477802800444,31.00264511295771,78.095,13.456800000000001,0.6475594303430509,0.8751966725029448,3.333333333333333,3.4,0.4714045207910317,0.4898979485566356,1,1.0,1.0888999753452238,1.0283941667143721,1.9366666666666668,2.08,0.5478645412467898,0.48674428604761244,1.3299999999999998,0.776,1.0566453347915394,0.9679019106635677,8.591866666666666,9.066780000000001,2.0692559795464867,1.9454892252592924,5.043000000000001,3.2606600000000006,1.0696862696845317,0.9878966517315813,3,0.2,0.058823529411764705,1.8
Dy(BC)2,3,1.1233333333333333,0.9939999999999999,0.4579179936286506,0.38892672831781566,1.0,0.045999999999999985,1.0206310294757475,1.0970021462083936,61.774,41.6288,71.22572244631851,60.43798265461878,151.689,28.1756,0.4583394811484739,0.6777057967820884,6.333333333333333,5.199999999999999,4.0276819911981905,3.4292856398964497,9,1.2000000000000002,0.9097077103274986,1.0579054247036734,1.9366666666666668,2.08,0.5478645412467898,0.48674428604761244,1.3299999999999998,0.776,1.0566453347915394,0.9679019106635677,8.499066666666668,9.0111,2.177099805296538,2.0284593828815014,5.321400000000001,3.3163400000000003,1.0656493832526897,0.9816034364412245,4,0,0.0,0
Lu(BC)2,3,1.1099999999999999,0.986,0.43908996800200295,0.3729664864300813,0.96,0.03799999999999998,1.0250907368934556,1.097466335326664,65.92966666666668,44.1222,77.10259418607278,65.42460104394982,164.156,30.669,0.43744875560776414,0.6529425026253415,8.0,6.199999999999999,6.377042156569663,5.418486873657627,14,2.2,0.8028187820379638,0.9968673335895756,1.9533333333333336,2.09,0.5261389761481486,0.46916947897321704,1.2799999999999998,0.766,1.0608105016250333,0.9734389230079941,8.328066666666668,8.9085,2.381978707340228,2.1879602254154444,5.8344000000000005,3.41894,1.0569073184991165,0.9691241732702173,4,0.2,0.03225806451612903,3.6
Y5Al3C4,3,1.3366666666666667,1.3683333333333334,0.4296768811819205,0.44895867169360804,1.04,0.4975000000000001,1.0436178805010459,0.992941376842816,42.633,47.79333333333334,33.285888972155554,35.204276613628764,76.89500000000001,33.0405,0.8032010313392789,0.6815488603402003,3.333333333333333,3.333333333333333,0.4714045207910317,0.4714045207910317,1,0.5833333333333333,1.0888999753452238,1.0699496099040458,1.7933333333333334,1.7608333333333333,0.5582313339666828,0.5789280083817753,1.3299999999999998,0.44749999999999984,1.0513922511741367,1.0475975377342945,7.821133333333334,7.840425000000001,2.4336938431573976,2.419947581431259,5.274500000000001,2.2569833333333333,1.0527456025184492,1.034652043559283,3,0.4166666666666667,0.12500000000000003,11.25
Nd(BC)2,3,1.1400000000000001,1.004,0.4814561246884289,0.4088814008976197,1.05,0.055999999999999994,1.0150270967765582,1.096269660156148,55.688,37.977199999999996,62.619050280246185,53.13511014160034,133.43099999999998,24.523999999999997,0.49325420007835036,0.7177960920723863,4.333333333333333,4.0,1.247219128924647,1.0954451150103324,3,0.3999999999999999,1.0579054247036734,1.0888999753452238,1.91,2.064,0.5829236656715868,0.5152319865846839,1.41,0.792,1.049235968239013,0.9585629572912755,8.3611,8.928320000000001,2.341851508244421,2.156546084274575,5.7353000000000005,3.39912,1.0587367772342895,0.9716286015713227,4,0,0.0,0
Er(BC)2,3,1.1199999999999999,0.992,0.4532107677449864,0.3849363583762906,0.99,0.043999999999999984,1.0217481508662818,1.097128634858799,63.36033333333333,42.5806,73.46908511445855,62.341509900226185,156.44799999999998,29.127399999999998,0.4501100817458205,0.6680200607537436,7.0,5.6,4.96655480858378,4.223742416388576,11,1.6,0.86415020319497,1.034601232910181,1.9433333333333334,2.084,0.5391557185905468,0.4796915675723308,1.3099999999999998,0.772,1.0583525433065073,0.9701434877564101,8.555333333333333,9.04486,2.1113955927037664,1.9778198791598798,5.1526000000000005,3.2825800000000003,1.0681526399625283,0.9854574734251202,4,0,0.0,0
Pr(BC)2,3,1.1433333333333333,1.0059999999999998,0.4861641240934542,0.4128728617867733,1.06,0.057999999999999996,1.0139031763209507,1.0961038090483175,54.57666666666667,37.310399999999994,61.04743694501478,51.80157991258568,130.09699999999998,23.8572,0.5002746368102347,0.7256605014425208,4.0,3.8,0.816496580927726,0.7483314773547883,2,0.6000000000000001,1.0775563270668007,1.0795295733255184,1.9066666666666667,2.0620000000000003,0.5873291713813945,0.5188217420270665,1.42,0.794,1.0482412531383412,0.9573520875205856,8.343766666666667,8.91792,2.3628769559350506,2.1729962516304537,5.787300000000001,3.4095200000000006,1.0577856074139151,0.9703202605240744,4,0,0.0,0
La(BC)2,3,1.1099999999999999,0.9859999999999999,0.43908996800200295,0.3729664864300813,0.96,0.03799999999999998,1.0250907368934556,1.097466335326664,53.909000000000006,36.9098,60.10324457132078,51.000423584123304,128.094,23.4566,0.5045990517694567,0.7304718960608149,3.333333333333333,3.4,0.4714045207910317,0.4898979485566356,1,1.0,1.0888999753452238,1.0283941667143721,1.8966666666666667,2.056,0.6005737997023253,0.529626283335712,1.4499999999999997,0.8,1.0451607100546534,0.9536590476586579,8.378400000000001,8.9387,2.320934726929361,2.1402030436386172,5.683400000000001,3.3887400000000003,1.0596670546848697,0.9729218231904193,4,0.2,0.058823529411764705,1.8
Tm(BC)2,3,1.1166666666666667,0.9899999999999999,0.44850368510811095,0.38094619042589206,0.98,0.04199999999999998,1.0228638650594954,1.0972482290828318,63.91866666666667,42.9156,74.25867031906479,63.01148533910306,158.123,29.4624,0.4472903982306464,0.6646806922451199,7.333333333333333,5.8,5.436502143433364,4.621688003316537,12,1.7999999999999998,0.8427803021302686,1.0222323070437096,1.9466666666666668,2.0860000000000003,0.5348104544810452,0.47617643788831043,1.2999999999999998,0.77,1.0591854007693118,0.9712508035759833,8.580866666666667,9.06018,2.081898838934197,1.9551766420454193,5.0760000000000005,3.2672600000000003,1.069231925207666,0.9871673755049521,4,0,0.0,0
La2Ni5C3,3,1.25,1.202,0.39191835884530846,0.336,0.96,0.394,1.0481748779873785,1.0154849700154873,69.86966666666666,60.730799999999995,52.40362721118538,44.00458041113448,126.894,25.743199999999998,0.792948625137859,0.8767943417630191,5.666666666666667,6.8,3.0912061651652345,3.2186953878862163,7,4.4,0.9586918593253719,0.7464108392315238,1.8533333333333335,1.9399999999999997,0.5933146064460423,0.5031898250163649,1.4499999999999997,0.7349999999999999,1.0451221269673616,0.9626920132770044,8.159,8.313369999999999,2.349104137041751,2.080822148118383,5.683400000000001,2.70452,1.0576198465969167,0.9927496183845197,4,4.2,0.6176470588235293,3.8
Th2Ru6C5,3,1.3,1.186923076923077,0.42103048187354164,0.3662362544626627,1.03,0.336923076923077,1.0440398552866028,1.026954496700296,115.03966666666666,86.96546153846154,90.36715432918952,74.09794317981634,220.02700000000002,42.028076923076924,0.743429666648224,0.8555330766915734,5.333333333333333,5.846153846153847,1.8856180831641267,1.9940740610485725,4,3.076923076923077,1.0397207708399179,0.8785250991271565,2.0166666666666666,2.1961538461538463,0.5265189666310437,0.4143862646509424,1.2499999999999998,0.8153846153846156,1.0624189658454797,0.9348893136625596,8.309166666666666,8.6983,2.1306516332385788,2.056826797240389,4.953600000000001,3.360623076923078,1.0668843370634598,0.9590641373177118,5,3.5384615384615383,0.6052631578947367,4.0
UNiC2,3,1.1933333333333334,1.0875,0.3249957264676295,0.3358850249713434,0.79,0.07750000000000001,1.059891165796094,1.093719697604973,102.911,80.18599999999999,97.42504032673872,93.10212530871678,226.018,53.50175,0.6424409627827379,0.7262152098182345,6.666666666666667,6.0,2.494438257849294,2.449489742783178,6,1.0,1.0296530140645737,1.0775563270668007,2.0533333333333332,2.1774999999999998,0.3615091823023156,0.3798272633711276,0.8499999999999999,0.8499999999999999,1.0834869585483746,0.9650272476081627,8.364733333333334,9.088625,2.13084363001032,2.2310150978590446,5.066200000000001,4.081625000000001,1.066980435024142,0.9260020651565213,5,2.25,0.375,3.25
CNCl,3,0.8200000000000001,0.8200000000000001,0.12355835328567094,0.12355835328567093,0.29000000000000004,0.09666666666666665,1.0875081636172685,1.0875081636172685,20.490333333333332,20.490333333333332,10.611536154372542,10.61153615437254,23.442000000000004,7.814000000000002,0.973453671165937,0.973453671165937,5.333333333333334,5.333333333333334,1.247219128924647,1.247219128924647,3,0.9999999999999998,1.0717300941124526,1.0717300941124526,2.916666666666667,2.916666666666667,0.2638602323621775,0.2638602323621775,0.6100000000000003,0.20333333333333337,1.0944374123732095,1.0944374123732095,12.920666666666666,12.920666666666666,1.336935217411657,1.336935217411657,3.2737999999999996,1.091266666666666,1.093234781836168,1.093234781836168,1,0,0.0,0
